TimeGenerated,OperationName,TargetResources,InitiatedBy,Result
2025-07-01 12:18:00,DisableUser,{'userPrincipalName': 'user8@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-02 03:41:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'sarah.johnson@contoso.com'}},Success
2025-07-02 02:52:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 11:10:00,UpdateUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-01 08:23:00,DisableUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 08:56:00,DisableUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-02 03:31:00,ResetPassword,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user3@contoso.com'}},Success
2025-07-01 23:29:00,DisableUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 14:22:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 18:08:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 20:54:00,ResetPassword,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user8@contoso.com'}},Success
2025-07-01 10:49:00,UpdateUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-02 05:47:00,DisableUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-01 23:40:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 12:50:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 11:10:00,UpdateUser,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 15:05:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 08:44:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-02 05:21:00,UpdateUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user16@contoso.com'}},Success
2025-07-01 20:48:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 13:29:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-01 14:05:00,DisableUser,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-02 04:42:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'sarah.johnson@contoso.com'}},Success
2025-07-01 19:50:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-02 02:39:00,UpdateUser,{'userPrincipalName': 'user20@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 16:41:00,UpdateUser,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 09:00:00,DisableUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-02 01:28:00,UpdateUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 11:55:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 12:43:00,UpdateUser,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 17:08:00,ResetPassword,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 11:08:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user7@contoso.com'}},Success
2025-07-01 18:02:00,ResetPassword,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'sarah.johnson@contoso.com'}},Success
2025-07-02 01:29:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 13:54:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 11:30:00,DisableUser,{'userPrincipalName': 'user9@contoso.com'},{'user': {'userPrincipalName': 'user13@contoso.com'}},Success
2025-07-01 13:39:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 23:13:00,ResetPassword,{'userPrincipalName': 'user16@contoso.com'},{'user': {'userPrincipalName': 'user14@contoso.com'}},Success
2025-07-01 18:52:00,DisableUser,{'userPrincipalName': 'user20@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 21:04:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user20@contoso.com'}},Success
2025-07-01 20:02:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 23:20:00,UpdateUser,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user3@contoso.com'}},Success
2025-07-01 16:38:00,DisableUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-02 04:36:00,DisableUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user10@contoso.com'}},Success
2025-07-01 21:35:00,UpdateUser,{'userPrincipalName': 'user17@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 19:00:00,ResetPassword,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user6@contoso.com'}},Success
2025-07-01 16:22:00,UpdateUser,{'userPrincipalName': 'user6@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 20:41:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user12@contoso.com'}},Success
2025-07-01 08:19:00,ResetPassword,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user4@contoso.com'}},Success
2025-07-01 15:17:00,ResetPassword,{'userPrincipalName': 'user1@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 15:56:00,DisableUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-01 17:40:00,DisableUser,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user13@contoso.com'}},Success
2025-07-01 15:25:00,UpdateUser,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-02 04:44:00,DisableUser,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-02 06:03:00,ResetPassword,{'userPrincipalName': 'user3@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 18:55:00,UpdateUser,{'userPrincipalName': 'user14@contoso.com'},{'user': {'userPrincipalName': 'user11@contoso.com'}},Success
2025-07-02 00:51:00,ResetPassword,{'userPrincipalName': 'user7@contoso.com'},{'user': {'userPrincipalName': 'user2@contoso.com'}},Success
2025-07-01 22:22:00,UpdateUser,{'userPrincipalName': 'user2@contoso.com'},{'user': {'userPrincipalName': 'user9@contoso.com'}},Success
2025-07-01 13:50:00,DisableUser,{'userPrincipalName': 'user4@contoso.com'},{'user': {'userPrincipalName': 'user15@contoso.com'}},Success
2025-07-01 21:04:00,UpdateUser,{'userPrincipalName': 'user11@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 17:43:00,UpdateUser,{'userPrincipalName': 'user19@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
2025-07-01 08:09:00,ResetPassword,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user19@contoso.com'}},Success
2025-07-01 21:44:00,UpdateUser,{'userPrincipalName': 'user10@contoso.com'},{'user': {'userPrincipalName': 'user5@contoso.com'}},Success
2025-07-01 09:20:00,ResetPassword,{'userPrincipalName': 'user18@contoso.com'},{'user': {'userPrincipalName': 'user17@contoso.com'}},Success
2025-07-01 10:22:00,ResetPassword,{'userPrincipalName': 'sarah.johnson@contoso.com'},{'user': {'userPrincipalName': 'user1@contoso.com'}},Success
