TimeGenerated,UserId,Operation,ClientIP,Parameters
2025-07-02 04:20:00,user13@contoso.com,SendMessage,10.0.228.182,{}
2025-07-01 14:45:00,user10@contoso.com,CreateItem,10.0.40.238,{}
2025-07-01 11:10:00,user19@contoso.com,SendMessage,10.0.239.49,{}
2025-07-02 07:21:00,user15@contoso.com,CreateItem,10.0.238.240,{}
2025-07-01 12:54:00,user8@contoso.com,SendMessage,10.0.132.186,{}
2025-07-02 07:52:00,user13@contoso.com,SendMessage,10.0.169.166,{}
2025-07-01 09:01:00,user15@contoso.com,CreateItem,10.0.33.243,{}
2025-07-02 00:20:00,user4@contoso.com,CreateItem,10.0.236.87,{}
2025-07-02 04:37:00,user10@contoso.com,CreateItem,10.0.65.52,{}
2025-07-01 11:39:00,user13@contoso.com,DeleteItem,10.0.166.36,{}
2025-07-01 23:44:00,user10@contoso.com,DeleteItem,10.0.205.211,{}
2025-07-01 16:19:00,user8@contoso.com,DeleteItem,10.0.81.246,{}
2025-07-01 19:37:00,user13@contoso.com,SendMessage,10.0.106.220,{}
2025-07-01 19:40:00,user14@contoso.com,DeleteItem,10.0.120.88,{}
2025-07-02 03:35:00,user3@contoso.com,DeleteItem,10.0.249.58,{}
2025-07-01 23:48:00,user19@contoso.com,DeleteItem,10.0.166.49,{}
2025-07-01 18:30:00,user15@contoso.com,SendMessage,10.0.207.35,{}
2025-07-02 07:23:00,user20@contoso.com,SendMessage,10.0.194.167,{}
2025-07-02 06:32:00,user16@contoso.com,DeleteItem,10.0.31.46,{}
2025-07-02 03:49:00,user7@contoso.com,SendMessage,10.0.0.75,{}
2025-07-02 02:08:00,user5@contoso.com,CreateItem,10.0.149.199,{}
2025-07-01 23:15:00,user20@contoso.com,DeleteItem,10.0.100.105,{}
2025-07-02 03:27:00,user11@contoso.com,CreateItem,10.0.155.222,{}
2025-07-02 03:53:00,user12@contoso.com,SendMessage,10.0.4.206,{}
2025-07-01 10:07:00,user5@contoso.com,CreateItem,10.0.189.27,{}
2025-07-02 03:06:00,user1@contoso.com,DeleteItem,10.0.183.56,{}
2025-07-01 16:01:00,user10@contoso.com,SendMessage,10.0.221.201,{}
2025-07-01 21:03:00,sarah.johnson@contoso.com,CreateItem,10.0.207.195,{}
2025-07-01 15:12:00,user14@contoso.com,DeleteItem,10.0.88.243,{}
2025-07-02 02:57:00,user5@contoso.com,SendMessage,10.0.196.184,{}
2025-07-01 17:50:00,user14@contoso.com,SendMessage,10.0.64.68,{}
2025-07-02 06:07:00,user1@contoso.com,SendMessage,10.0.8.73,{}
2025-07-01 22:54:00,user16@contoso.com,DeleteItem,10.0.69.43,{}
2025-07-01 22:11:00,user5@contoso.com,DeleteItem,10.0.233.217,{}
2025-07-01 23:30:00,user20@contoso.com,SendMessage,10.0.217.230,{}
2025-07-01 15:42:00,user13@contoso.com,CreateItem,10.0.95.217,{}
2025-07-02 03:43:00,user20@contoso.com,SendMessage,10.0.255.121,{}
2025-07-01 22:01:00,user17@contoso.com,CreateItem,10.0.187.17,{}
2025-07-02 00:29:00,user2@contoso.com,DeleteItem,10.0.188.57,{}
2025-07-02 07:34:00,user19@contoso.com,CreateItem,10.0.40.72,{}
2025-07-01 23:52:00,user17@contoso.com,CreateItem,10.0.40.45,{}
2025-07-02 05:31:00,user8@contoso.com,CreateItem,10.0.39.159,{}
2025-07-01 19:43:00,user20@contoso.com,SendMessage,10.0.5.240,{}
2025-07-02 00:00:00,user15@contoso.com,DeleteItem,10.0.169.215,{}
2025-07-01 17:52:00,user12@contoso.com,CreateItem,10.0.85.18,{}
2025-07-01 18:22:00,user20@contoso.com,DeleteItem,10.0.133.31,{}
2025-07-02 03:44:00,sarah.johnson@contoso.com,CreateItem,10.0.86.26,{}
2025-07-02 05:18:00,user10@contoso.com,DeleteItem,10.0.13.146,{}
2025-07-01 12:19:00,user16@contoso.com,SendMessage,10.0.39.142,{}
2025-07-02 05:01:00,user9@contoso.com,SendMessage,10.0.143.140,{}
2025-07-01 11:48:00,user9@contoso.com,SendMessage,10.0.89.77,{}
2025-07-01 13:59:00,user15@contoso.com,CreateItem,10.0.133.120,{}
2025-07-02 02:00:00,user16@contoso.com,SendMessage,10.0.16.175,{}
2025-07-02 04:19:00,user3@contoso.com,SendMessage,10.0.78.253,{}
2025-07-01 16:07:00,user14@contoso.com,CreateItem,10.0.225.85,{}
2025-07-01 19:46:00,user7@contoso.com,DeleteItem,10.0.27.135,{}
2025-07-01 13:43:00,user4@contoso.com,SendMessage,10.0.237.204,{}
2025-07-02 00:15:00,user16@contoso.com,CreateItem,10.0.119.194,{}
2025-07-01 16:57:00,user13@contoso.com,CreateItem,10.0.74.222,{}
2025-07-01 23:19:00,user1@contoso.com,CreateItem,10.0.195.161,{}
2025-07-01 09:24:00,user17@contoso.com,DeleteItem,10.0.49.181,{}
2025-07-02 06:15:00,user14@contoso.com,DeleteItem,10.0.139.171,{}
2025-07-01 11:21:00,user9@contoso.com,CreateItem,10.0.130.200,{}
2025-07-01 16:15:00,user15@contoso.com,DeleteItem,10.0.99.172,{}
2025-07-02 02:41:00,user6@contoso.com,CreateItem,10.0.5.4,{}
2025-07-01 22:02:00,user3@contoso.com,SendMessage,10.0.50.53,{}
2025-07-01 15:29:00,user15@contoso.com,CreateItem,10.0.145.128,{}
2025-07-01 08:48:00,user7@contoso.com,SendMessage,10.0.47.29,{}
2025-07-01 15:24:00,user20@contoso.com,DeleteItem,10.0.62.61,{}
2025-07-01 12:26:00,user3@contoso.com,DeleteItem,10.0.192.94,{}
2025-07-01 14:17:00,user4@contoso.com,DeleteItem,10.0.129.150,{}
2025-07-01 10:35:00,user15@contoso.com,DeleteItem,10.0.232.141,{}
2025-07-02 06:47:00,user14@contoso.com,DeleteItem,10.0.165.131,{}
2025-07-01 17:27:00,user6@contoso.com,SendMessage,10.0.31.195,{}
2025-07-01 10:03:00,user13@contoso.com,CreateItem,10.0.132.135,{}
2025-07-01 10:22:00,user6@contoso.com,CreateItem,10.0.251.102,{}
2025-07-01 14:05:00,user20@contoso.com,CreateItem,10.0.251.55,{}
2025-07-01 22:43:00,user5@contoso.com,DeleteItem,10.0.111.54,{}
2025-07-01 16:50:00,user15@contoso.com,DeleteItem,10.0.52.17,{}
2025-07-02 03:30:00,user3@contoso.com,SendMessage,10.0.128.228,{}
2025-07-01 13:04:00,user1@contoso.com,CreateItem,10.0.0.19,{}
2025-07-01 13:10:00,user13@contoso.com,CreateItem,10.0.168.200,{}
2025-07-02 01:35:00,user19@contoso.com,SendMessage,10.0.251.244,{}
2025-07-01 10:23:00,user14@contoso.com,CreateItem,10.0.115.1,{}
2025-07-02 00:27:00,user13@contoso.com,DeleteItem,10.0.62.183,{}
2025-07-01 18:20:00,user11@contoso.com,DeleteItem,10.0.205.28,{}
2025-07-01 11:05:00,sarah.johnson@contoso.com,DeleteItem,10.0.187.174,{}
2025-07-01 17:53:00,user3@contoso.com,CreateItem,10.0.103.90,{}
2025-07-01 21:06:00,user18@contoso.com,SendMessage,10.0.97.153,{}
2025-07-02 05:31:00,user13@contoso.com,SendMessage,10.0.183.249,{}
2025-07-01 22:56:00,user3@contoso.com,DeleteItem,10.0.97.71,{}
2025-07-01 08:51:00,user2@contoso.com,SendMessage,10.0.122.250,{}
2025-07-02 02:27:00,user13@contoso.com,SendMessage,10.0.157.255,{}
2025-07-01 08:33:00,user18@contoso.com,CreateItem,10.0.18.173,{}
2025-07-01 09:27:00,user2@contoso.com,CreateItem,10.0.207.60,{}
2025-07-02 06:46:00,user7@contoso.com,DeleteItem,10.0.234.76,{}
2025-07-01 10:27:00,user19@contoso.com,SendMessage,10.0.18.72,{}
2025-07-01 08:39:00,user16@contoso.com,DeleteItem,10.0.241.23,{}
2025-07-02 06:08:00,user8@contoso.com,DeleteItem,10.0.66.7,{}
2025-07-01 09:42:00,user6@contoso.com,DeleteItem,10.0.157.49,{}
2025-07-01 13:49:00,user15@contoso.com,DeleteItem,10.0.32.54,{}
2025-07-02 04:18:00,user4@contoso.com,CreateItem,10.0.112.32,{}
2025-07-01 19:30:00,user7@contoso.com,CreateItem,10.0.205.166,{}
2025-07-02 03:39:00,user4@contoso.com,DeleteItem,10.0.70.164,{}
2025-07-02 04:14:00,user7@contoso.com,SendMessage,10.0.88.171,{}
2025-07-01 17:20:00,user3@contoso.com,SendMessage,10.0.72.212,{}
2025-07-01 20:37:00,user6@contoso.com,DeleteItem,10.0.84.224,{}
2025-07-01 09:23:00,user8@contoso.com,DeleteItem,10.0.68.51,{}
2025-07-01 20:50:00,sarah.johnson@contoso.com,DeleteItem,10.0.80.8,{}
2025-07-01 08:13:00,user16@contoso.com,SendMessage,10.0.3.91,{}
2025-07-02 06:14:00,user3@contoso.com,DeleteItem,10.0.145.213,{}
2025-07-01 12:19:00,user16@contoso.com,DeleteItem,10.0.105.73,{}
2025-07-02 01:51:00,sarah.johnson@contoso.com,CreateItem,10.0.230.210,{}
2025-07-02 04:50:00,user8@contoso.com,SendMessage,10.0.19.92,{}
2025-07-01 11:00:00,user16@contoso.com,DeleteItem,10.0.154.178,{}
2025-07-02 03:02:00,user14@contoso.com,SendMessage,10.0.120.98,{}
2025-07-01 11:15:00,user4@contoso.com,DeleteItem,10.0.185.112,{}
2025-07-02 06:30:00,user15@contoso.com,DeleteItem,10.0.106.141,{}
2025-07-01 11:50:00,user2@contoso.com,SendMessage,10.0.76.242,{}
2025-07-01 13:27:00,user16@contoso.com,SendMessage,10.0.22.27,{}
2025-07-01 17:43:00,sarah.johnson@contoso.com,CreateItem,10.0.107.222,{}
2025-07-02 05:03:00,user9@contoso.com,CreateItem,10.0.232.22,{}
2025-07-01 09:47:00,user4@contoso.com,DeleteItem,10.0.90.80,{}
2025-07-02 01:34:00,user1@contoso.com,CreateItem,10.0.59.36,{}
2025-07-01 23:10:00,user8@contoso.com,DeleteItem,10.0.166.214,{}
2025-07-02 07:06:00,user7@contoso.com,DeleteItem,10.0.166.117,{}
2025-07-01 15:46:00,user4@contoso.com,CreateItem,10.0.50.121,{}
2025-07-01 20:49:00,user14@contoso.com,SendMessage,10.0.112.37,{}
2025-07-02 00:32:00,user16@contoso.com,DeleteItem,10.0.27.223,{}
2025-07-02 04:48:00,user5@contoso.com,SendMessage,10.0.232.91,{}
2025-07-01 12:39:00,user13@contoso.com,CreateItem,10.0.234.99,{}
2025-07-01 17:12:00,sarah.johnson@contoso.com,CreateItem,10.0.103.171,{}
2025-07-02 07:37:00,user5@contoso.com,SendMessage,10.0.30.143,{}
2025-07-01 23:53:00,user5@contoso.com,SendMessage,10.0.234.214,{}
2025-07-01 15:30:00,user6@contoso.com,CreateItem,10.0.151.80,{}
2025-07-01 13:48:00,sarah.johnson@contoso.com,DeleteItem,10.0.117.44,{}
2025-07-02 00:41:00,user14@contoso.com,DeleteItem,10.0.110.242,{}
2025-07-01 08:29:00,user15@contoso.com,CreateItem,10.0.219.126,{}
2025-07-01 22:49:00,user8@contoso.com,CreateItem,10.0.113.76,{}
2025-07-01 22:15:00,user19@contoso.com,SendMessage,10.0.22.20,{}
2025-07-02 01:12:00,user16@contoso.com,DeleteItem,10.0.17.217,{}
2025-07-02 00:21:00,user17@contoso.com,CreateItem,10.0.50.231,{}
2025-07-01 10:50:00,user16@contoso.com,SendMessage,10.0.6.208,{}
2025-07-01 20:14:00,user7@contoso.com,SendMessage,10.0.151.122,{}
2025-07-01 08:32:00,sarah.johnson@contoso.com,SendMessage,10.0.245.156,{}
2025-07-01 23:40:00,user6@contoso.com,DeleteItem,10.0.12.232,{}
2025-07-02 08:00:00,user15@contoso.com,SendMessage,10.0.207.94,{}
2025-07-01 23:50:00,user12@contoso.com,DeleteItem,10.0.0.36,{}
2025-07-01 19:21:00,user13@contoso.com,DeleteItem,10.0.16.151,{}
2025-07-02 07:49:00,user14@contoso.com,CreateItem,10.0.106.41,{}
2025-07-01 09:52:00,user20@contoso.com,CreateItem,10.0.186.26,{}
2025-07-01 20:28:00,user4@contoso.com,CreateItem,10.0.238.20,{}
2025-07-01 13:58:00,user12@contoso.com,CreateItem,10.0.34.104,{}
2025-07-01 16:08:00,user5@contoso.com,CreateItem,10.0.58.244,{}
2025-07-01 15:09:00,user19@contoso.com,DeleteItem,10.0.115.164,{}
2025-07-02 01:11:00,user12@contoso.com,CreateItem,10.0.216.141,{}
2025-07-01 20:43:00,user2@contoso.com,SendMessage,10.0.176.231,{}
2025-07-02 01:58:00,user16@contoso.com,DeleteItem,10.0.62.240,{}
2025-07-02 02:11:00,user18@contoso.com,DeleteItem,10.0.149.231,{}
2025-07-02 06:58:00,user20@contoso.com,CreateItem,10.0.33.96,{}
2025-07-01 10:44:00,user15@contoso.com,SendMessage,10.0.200.91,{}
2025-07-01 11:43:00,user10@contoso.com,SendMessage,10.0.84.141,{}
2025-07-01 13:03:00,user4@contoso.com,DeleteItem,10.0.254.77,{}
2025-07-02 05:24:00,user7@contoso.com,DeleteItem,10.0.11.150,{}
2025-07-02 02:28:00,user14@contoso.com,DeleteItem,10.0.67.242,{}
2025-07-01 23:09:00,user12@contoso.com,CreateItem,10.0.10.149,{}
2025-07-01 08:45:00,user7@contoso.com,SendMessage,10.0.118.171,{}
2025-07-01 19:42:00,user14@contoso.com,DeleteItem,10.0.167.248,{}
2025-07-02 07:47:00,user19@contoso.com,DeleteItem,10.0.227.234,{}
2025-07-01 12:30:00,user10@contoso.com,DeleteItem,10.0.156.87,{}
2025-07-02 00:31:00,user9@contoso.com,SendMessage,10.0.190.147,{}
2025-07-01 20:03:00,user2@contoso.com,SendMessage,10.0.145.233,{}
2025-07-01 13:29:00,user6@contoso.com,DeleteItem,10.0.146.93,{}
2025-07-02 07:38:00,user6@contoso.com,DeleteItem,10.0.78.82,{}
2025-07-01 09:24:00,user8@contoso.com,SendMessage,10.0.162.64,{}
2025-07-01 20:37:00,user15@contoso.com,CreateItem,10.0.94.105,{}
2025-07-01 09:11:00,user18@contoso.com,DeleteItem,10.0.162.176,{}
2025-07-01 23:18:00,user5@contoso.com,CreateItem,10.0.83.154,{}
2025-07-01 21:48:00,user4@contoso.com,SendMessage,10.0.255.74,{}
2025-07-01 13:19:00,user15@contoso.com,CreateItem,10.0.2.169,{}
2025-07-01 18:05:00,sarah.johnson@contoso.com,DeleteItem,10.0.242.148,{}
2025-07-01 13:01:00,user19@contoso.com,DeleteItem,10.0.226.173,{}
2025-07-02 00:20:00,user4@contoso.com,DeleteItem,10.0.20.71,{}
2025-07-01 18:30:00,user18@contoso.com,SendMessage,10.0.12.205,{}
2025-07-01 23:13:00,user20@contoso.com,SendMessage,10.0.182.47,{}
2025-07-02 04:45:00,user11@contoso.com,SendMessage,10.0.99.113,{}
2025-07-01 08:46:00,user9@contoso.com,SendMessage,10.0.42.228,{}
2025-07-01 21:27:00,user3@contoso.com,DeleteItem,10.0.99.251,{}
2025-07-02 04:39:00,user11@contoso.com,DeleteItem,10.0.28.184,{}
2025-07-01 22:35:00,user13@contoso.com,SendMessage,10.0.189.197,{}
2025-07-01 17:42:00,user12@contoso.com,SendMessage,10.0.176.179,{}
2025-07-02 03:08:00,user10@contoso.com,CreateItem,10.0.44.110,{}
2025-07-01 22:11:00,user15@contoso.com,DeleteItem,10.0.226.147,{}
2025-07-01 22:28:00,user6@contoso.com,DeleteItem,10.0.212.71,{}
2025-07-01 10:56:00,user19@contoso.com,DeleteItem,10.0.73.106,{}
2025-07-02 01:55:00,user10@contoso.com,CreateItem,10.0.171.33,{}
2025-07-01 11:01:00,user19@contoso.com,CreateItem,10.0.3.209,{}
2025-07-01 22:08:00,sarah.johnson@contoso.com,CreateItem,10.0.89.236,{}
2025-07-01 14:48:00,user19@contoso.com,SendMessage,10.0.95.195,{}
2025-07-02 00:44:00,user10@contoso.com,DeleteItem,10.0.21.154,{}
2025-07-02 00:51:00,user19@contoso.com,CreateItem,10.0.237.114,{}
2025-07-01 13:15:00,user1@contoso.com,SendMessage,10.0.134.153,{}
2025-07-02 00:07:00,sarah.johnson@contoso.com,DeleteItem,10.0.63.147,{}
2025-07-02 00:47:00,user14@contoso.com,SendMessage,10.0.125.14,{}
2025-07-02 00:49:00,user4@contoso.com,CreateItem,10.0.34.185,{}
2025-07-02 03:18:00,user19@contoso.com,CreateItem,10.0.223.132,{}
2025-07-02 00:14:00,sarah.johnson@contoso.com,DeleteItem,10.0.61.191,{}
2025-07-02 03:38:00,user17@contoso.com,DeleteItem,10.0.8.132,{}
2025-07-01 09:59:00,user6@contoso.com,DeleteItem,10.0.74.163,{}
2025-07-01 12:37:00,user15@contoso.com,DeleteItem,10.0.182.83,{}
2025-07-01 20:19:00,user2@contoso.com,CreateItem,10.0.214.182,{}
2025-07-01 17:57:00,user2@contoso.com,CreateItem,10.0.39.99,{}
2025-07-01 11:13:00,sarah.johnson@contoso.com,SendMessage,10.0.85.165,{}
2025-07-01 18:16:00,user11@contoso.com,DeleteItem,10.0.138.185,{}
2025-07-02 03:47:00,user4@contoso.com,DeleteItem,10.0.180.73,{}
2025-07-02 01:41:00,user1@contoso.com,SendMessage,10.0.144.190,{}
2025-07-01 19:36:00,user16@contoso.com,CreateItem,10.0.83.52,{}
2025-07-02 01:10:00,user7@contoso.com,SendMessage,10.0.113.96,{}
2025-07-02 07:32:00,user18@contoso.com,DeleteItem,10.0.58.213,{}
2025-07-01 11:58:00,user15@contoso.com,SendMessage,10.0.67.8,{}
2025-07-01 18:38:00,user16@contoso.com,CreateItem,10.0.185.71,{}
2025-07-02 01:51:00,user15@contoso.com,DeleteItem,10.0.175.88,{}
2025-07-01 12:02:00,user10@contoso.com,SendMessage,10.0.113.65,{}
2025-07-01 15:44:00,user5@contoso.com,DeleteItem,10.0.157.64,{}
2025-07-01 10:40:00,user7@contoso.com,SendMessage,10.0.217.57,{}
2025-07-02 00:31:00,user3@contoso.com,SendMessage,10.0.220.21,{}
2025-07-01 09:07:00,user7@contoso.com,SendMessage,10.0.30.240,{}
2025-07-01 09:28:00,user4@contoso.com,CreateItem,10.0.33.154,{}
2025-07-01 12:13:00,user1@contoso.com,SendMessage,10.0.105.102,{}
2025-07-01 19:59:00,user6@contoso.com,DeleteItem,10.0.14.46,{}
2025-07-01 17:28:00,user5@contoso.com,DeleteItem,10.0.178.180,{}
2025-07-02 04:55:00,user6@contoso.com,DeleteItem,10.0.123.34,{}
2025-07-01 08:28:00,user4@contoso.com,DeleteItem,10.0.111.98,{}
2025-07-02 02:20:00,user10@contoso.com,SendMessage,10.0.2.50,{}
2025-07-02 00:12:00,user7@contoso.com,DeleteItem,10.0.187.94,{}
2025-07-01 11:39:00,user15@contoso.com,DeleteItem,10.0.92.181,{}
2025-07-01 15:18:00,user13@contoso.com,CreateItem,10.0.116.208,{}
2025-07-01 12:13:00,user4@contoso.com,CreateItem,10.0.238.56,{}
2025-07-02 00:55:00,user17@contoso.com,SendMessage,10.0.184.147,{}
2025-07-01 09:23:00,user18@contoso.com,DeleteItem,10.0.42.167,{}
2025-07-01 21:08:00,user16@contoso.com,SendMessage,10.0.145.233,{}
2025-07-01 18:38:00,user20@contoso.com,DeleteItem,10.0.227.115,{}
2025-07-01 17:55:00,user18@contoso.com,CreateItem,10.0.219.96,{}
2025-07-02 07:10:00,user3@contoso.com,CreateItem,10.0.188.91,{}
2025-07-02 00:46:00,user1@contoso.com,DeleteItem,10.0.53.202,{}
2025-07-02 06:28:00,user15@contoso.com,DeleteItem,10.0.43.61,{}
2025-07-01 21:40:00,user5@contoso.com,CreateItem,10.0.52.86,{}
2025-07-01 14:47:00,user3@contoso.com,CreateItem,10.0.173.102,{}
2025-07-01 12:11:00,user20@contoso.com,CreateItem,10.0.119.217,{}
2025-07-02 03:51:00,user16@contoso.com,CreateItem,10.0.139.204,{}
2025-07-02 06:45:00,user12@contoso.com,CreateItem,10.0.207.248,{}
2025-07-01 13:01:00,user17@contoso.com,CreateItem,10.0.232.55,{}
2025-07-02 00:42:00,user4@contoso.com,CreateItem,10.0.254.118,{}
2025-07-01 09:00:00,sarah.johnson@contoso.com,SendMessage,10.0.50.27,{}
2025-07-02 07:08:00,user3@contoso.com,CreateItem,10.0.13.91,{}
2025-07-02 07:11:00,user13@contoso.com,DeleteItem,10.0.167.78,{}
2025-07-02 05:16:00,user10@contoso.com,DeleteItem,10.0.49.39,{}
2025-07-01 23:54:00,user17@contoso.com,CreateItem,10.0.103.150,{}
2025-07-02 01:13:00,user16@contoso.com,CreateItem,10.0.133.175,{}
2025-07-01 08:36:00,user18@contoso.com,DeleteItem,10.0.16.220,{}
2025-07-01 23:21:00,user4@contoso.com,CreateItem,10.0.161.192,{}
2025-07-01 09:13:00,user15@contoso.com,CreateItem,10.0.16.90,{}
2025-07-01 18:20:00,user18@contoso.com,DeleteItem,10.0.84.251,{}
2025-07-01 18:39:00,user14@contoso.com,SendMessage,10.0.199.249,{}
2025-07-02 07:02:00,user4@contoso.com,DeleteItem,10.0.251.240,{}
2025-07-01 13:20:00,user16@contoso.com,DeleteItem,10.0.28.200,{}
2025-07-02 04:10:00,user9@contoso.com,CreateItem,10.0.193.180,{}
2025-07-01 10:05:00,user10@contoso.com,CreateItem,10.0.14.23,{}
2025-07-01 19:54:00,user5@contoso.com,CreateItem,10.0.13.174,{}
2025-07-01 22:36:00,user13@contoso.com,SendMessage,10.0.176.182,{}
2025-07-01 09:55:00,user14@contoso.com,CreateItem,10.0.125.126,{}
2025-07-01 18:39:00,user8@contoso.com,DeleteItem,10.0.43.33,{}
2025-07-01 19:31:00,user10@contoso.com,SendMessage,10.0.86.10,{}
2025-07-01 09:16:00,user18@contoso.com,CreateItem,10.0.235.216,{}
2025-07-01 22:22:00,user19@contoso.com,DeleteItem,10.0.136.10,{}
2025-07-01 08:45:00,user16@contoso.com,DeleteItem,10.0.162.193,{}
2025-07-01 19:00:00,user19@contoso.com,CreateItem,10.0.50.250,{}
2025-07-02 07:02:00,user4@contoso.com,DeleteItem,10.0.105.172,{}
2025-07-02 06:46:00,user16@contoso.com,DeleteItem,10.0.173.85,{}
2025-07-01 20:24:00,user20@contoso.com,CreateItem,10.0.223.103,{}
2025-07-01 10:34:00,user16@contoso.com,DeleteItem,10.0.109.147,{}
2025-07-01 18:08:00,user9@contoso.com,SendMessage,10.0.205.115,{}
2025-07-01 11:08:00,user20@contoso.com,DeleteItem,10.0.48.172,{}
2025-07-02 03:20:00,user9@contoso.com,SendMessage,10.0.243.218,{}
2025-07-01 10:37:00,user7@contoso.com,CreateItem,10.0.154.153,{}
2025-07-02 02:25:00,user14@contoso.com,DeleteItem,10.0.160.102,{}
2025-07-01 16:34:00,user14@contoso.com,CreateItem,10.0.232.92,{}
2025-07-02 08:00:00,user1@contoso.com,DeleteItem,10.0.95.255,{}
2025-07-01 23:57:00,user7@contoso.com,DeleteItem,10.0.137.222,{}
2025-07-02 05:23:00,user19@contoso.com,DeleteItem,10.0.30.102,{}
2025-07-01 13:02:00,user12@contoso.com,CreateItem,10.0.123.77,{}
2025-07-01 22:00:00,user10@contoso.com,CreateItem,10.0.163.32,{}
2025-07-01 22:04:00,sarah.johnson@contoso.com,SendMessage,10.0.136.146,{}
2025-07-01 16:45:00,sarah.johnson@contoso.com,SendMessage,10.0.120.207,{}
