TimeGenerated,UserPrincipalName,IPAddress,Location,Status,ResultType,ResultDescription,AppDisplayName,DeviceDetail
2025-06-01T00:17:00,allison.hill@contoso.com,78.137.97.10,"Dublin, IE",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-dub-6"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Chrome""}"
2025-06-01T00:49:00,zendaya.coleman@contoso.com,66.249.64.1,"New York, USA",,1,Incorrect password,Office 365 Exchange Online,"{""DisplayName"": ""device-new-48"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-01T00:56:00,gina.moore@contoso.com,86.23.123.45,"London, UK",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-lon-11"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-01T01:00:00,gina.moore@contoso.com,86.23.123.45,"London, UK",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-lon-20"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T02:24:00,lisa.jackson@contoso.com,78.137.97.10,"Dublin, IE",,1,Incorrect password,Office 365 Exchange Online,"{""DisplayName"": ""device-dub-41"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T02:46:00,patty.perez@contoso.com,66.249.64.1,"New York, USA",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-new-34"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T02:51:00,taylor.swift@contoso.com,78.137.97.10,"Dublin, IE",,1,Incorrect password,Outlook Mobile,"{""DisplayName"": ""device-dub-9"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T03:01:00,monica.herrera@contoso.com,103.87.199.12,"Kuala Lumpur, MY",,1,Sign-in failed due to invalid credentials,Azure Portal,"{""DisplayName"": ""unknown-3T5MD0C"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Unknown"", ""Browser"": ""Firefox""}"
2025-06-01T03:28:00,carla.gray@contoso.com,66.249.64.1,"New York, USA",,1,Incorrect password,SharePoint Online,"{""DisplayName"": ""device-new-37"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T04:20:00,gabrielle.davis@contoso.com,66.249.64.1,"New York, USA",,1,Incorrect password,OneDrive,"{""DisplayName"": ""device-new-21"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
