TimeGenerated,OperationName,InitiatedBy,TargetProperties
2025-06-01T09:01:00,AddMemberToGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-426"", ""User"": ""jordan.doe@contoso.com""}"
2025-06-01T09:19:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-2054"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T09:40:00,RemoveMemberFromRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""noah.rhodes@contoso.com""}"
2025-06-01T09:41:00,AddMemberToGroup,noah.rhodes@contoso.com (78.137.97.10),"{""Group"": ""group-314"", ""User"": ""sam.doe@contoso.com""}"
2025-06-01T09:43:00,AddMemberToRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-01T10:19:00,RemoveMemberFromGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-640"", ""User"": ""lane.wright@contoso.com""}"
2025-06-01T10:23:00,DeleteUser,noah.rhodes@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""avery.taylor@contoso.com"", ""Department"": ""Legal"", ""CreatedBy"": ""noah.rhodes@contoso.com""}"
2025-06-01T10:45:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""emerson.bennett@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-01T10:48:00,UpdateDevice,patty.perez@contoso.com (66.249.64.1),"{""DeviceId"": ""device-3467"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T10:49:00,UpdateDevice,bilbo.baggins@contoso.com (78.137.97.10),"{""DeviceId"": ""device-2574"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T10:50:00,AddMemberToRole,ethan.adams@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""patty.perez@contoso.com""}"
2025-06-01T11:22:00,AddMemberToGroup,bilbo.baggins@contoso.com (78.137.97.10),"{""Group"": ""group-331"", ""User"": ""val.clarke@contoso.com""}"
2025-06-01T11:26:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""casey.bennett@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-01T11:35:00,UpdateDevice,ethan.adams@contoso.com (66.249.64.1),"{""DeviceId"": ""device-6437"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T12:11:00,UpdateDevice,gabrielle.davis@contoso.com (66.249.64.1),"{""DeviceId"": ""device-8359"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T12:14:00,RemoveMemberFromGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-938"", ""User"": ""kendall.morgan@contoso.com""}"
2025-06-01T12:25:00,UpdateUser,gabrielle.davis@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""rowan.bennett@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-01T12:33:00,UpdateDevice,bilbo.baggins@contoso.com (78.137.97.10),"{""DeviceId"": ""device-2885"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T12:43:00,AddUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""reagan.day@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""bilbo.baggins@contoso.com""}"
2025-06-01T12:46:00,UpdateDevice,ethan.adams@contoso.com (66.249.64.1),"{""DeviceId"": ""device-9986"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T12:54:00,UpdateDevice,noah.rhodes@contoso.com (78.137.97.10),"{""DeviceId"": ""device-2685"", ""ComplianceStatus"": ""Updated""}"
2025-06-01T12:59:00,AddMemberToGroup,noah.rhodes@contoso.com (78.137.97.10),"{""Group"": ""group-780"", ""User"": ""teagan.keaton@contoso.com""}"
2025-06-01T13:17:00,AddMemberToRole,gabrielle.davis@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""gabrielle.davis@contoso.com""}"
2025-06-01T13:22:00,RemoveMemberFromGroup,gabrielle.davis@contoso.com (66.249.64.1),"{""Group"": ""group-985"", ""User"": ""skyler.anderson@contoso.com""}"
2025-06-01T13:34:00,AddUser,ethan.adams@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""zane.day@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""ethan.adams@contoso.com""}"
2025-06-01T13:39:00,UpdateUser,bilbo.baggins@contoso.com (78.137.97.10),"{""UserPrincipalName"": ""dallas.johnson@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-01T13:45:00,RemoveMemberFromRole,bilbo.baggins@contoso.com (78.137.97.10),"{""RoleName"": ""Global Administrator"", ""User"": ""bilbo.baggins@contoso.com""}"
2025-06-01T13:49:00,RemoveMemberFromRole,gabrielle.davis@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""gabrielle.davis@contoso.com""}"
2025-06-01T13:52:00,DeleteUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""dallas.carter@contoso.com"", ""Department"": ""Sales"", ""CreatedBy"": ""patty.perez@contoso.com""}"
2025-06-01T14:01:00,AddMemberToRole,patty.perez@contoso.com (66.249.64.1),"{""RoleName"": ""Security Administrator"", ""User"": ""noah.rhodes@contoso.com""}"
2025-06-01T14:07:00,UpdateUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""riley.rivers@contoso.com"", ""UpdatedField"": ""Title"", ""OldValue"": ""Analyst"", ""NewValue"": ""Senior Analyst""}"
2025-06-01T14:10:00,AddUser,patty.perez@contoso.com (66.249.64.1),"{""UserPrincipalName"": ""dallas.carter@contoso.com"", ""Department"": ""Marketing"", ""CreatedBy"": ""patty.perez@contoso.com""}"
2025-06-01T14:15:00,AddMemberToGroup,ethan.adams@contoso.com (66.249.64.1),"{""Group"": ""group-325"", ""User"": ""teagan.clarke@contoso.com""}"
