TimeGenerated,UserPrincipalName,AppDisplayName,ResultType,ResultDescription,IPAddress,Location,DeviceDetail
2025-06-01T01:18:00,patty.perez@contoso.com,Microsoft Teams,50055,"Invalid password, entered expired password.",66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-29"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T01:32:00,dylan.miller@contoso.com,OneDrive,50074,Strong Authentication is required.,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-35"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T01:49:00,allison.hill@contoso.com,Azure Portal,50055,"Invalid password, entered expired password.",78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-1"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T01:52:00,patty.perez@contoso.com,Microsoft Teams,70044,The session has expired or is invalid due to sign-in frequency checks by conditional access.,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-29"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-01T02:15:00,abigail.shaffer@contoso.com,Azure Portal,70044,The session has expired or is invalid due to sign-in frequency checks by conditional access.,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-9"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T02:52:00,connie.lawrence@contoso.com,Microsoft Teams,50055,"Invalid password, entered expired password.",86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-8"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T04:36:00,dylan.miller@contoso.com,OneDrive,50126,Invalid username or password.,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-25"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Chrome""}"
2025-06-01T06:36:00,cristian.santos@contoso.com,Power BI,50074,Strong Authentication is required.,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-26"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Chrome""}"
2025-06-01T08:22:00,ethan.adams@contoso.com,Outlook Mobile,50140,Keep me signed in interrupt when the user was signing in.,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-47"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Windows"", ""Browser"": ""Unknown""}"
2025-06-01T08:29:00,lisa.hensley@contoso.com,SharePoint Online,50057,User account is disabled. The account has been disabled by an administrator.,185.220.101.1,"Bucharest, RO","{""DisplayName"": ""unknown-65SLIU4"", ""IsCompliant"": false, ""IsManaged"": false, ""OperatingSystem"": ""Linux"", ""Browser"": ""Unknown""}"
2025-06-01T09:01:00,cristian.santos@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Firefox""}"
2025-06-01T09:04:00,derek.zuniga@contoso.com,Power BI,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-4"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T09:06:00,beyonce.knowles@contoso.com,Power BI,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-30"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T09:09:00,ethan.adams@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-3"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Chrome""}"
2025-06-01T09:10:00,gabrielle.davis@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-45"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
2025-06-01T09:13:00,monica.herrera@contoso.com,Azure Portal,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-2"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T09:18:00,ethan.adams@contoso.com,Power BI,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-18"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Android"", ""Browser"": ""Edge""}"
2025-06-01T09:19:00,cristian.santos@contoso.com,Azure Portal,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-35"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T09:21:00,abigail.shaffer@contoso.com,Power BI,0,,66.249.64.1,"New York, USA","{""DisplayName"": ""device-new-36"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""macOS"", ""Browser"": ""Firefox""}"
2025-06-01T09:27:00,cristian.santos@contoso.com,Microsoft Teams,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-6"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Firefox""}"
2025-06-01T09:32:00,dylan.miller@contoso.com,OneDrive,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-27"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Chrome""}"
2025-06-01T09:34:00,margaret.dds@contoso.com,Power BI,0,,86.23.123.45,"London, UK","{""DisplayName"": ""device-lon-49"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""iOS"", ""Browser"": ""Edge""}"
2025-06-01T09:40:00,roger.federer@contoso.com,Office 365 Exchange Online,0,,78.137.97.10,"Dublin, IE","{""DisplayName"": ""device-dub-24"", ""IsCompliant"": true, ""IsManaged"": true, ""OperatingSystem"": ""Windows"", ""Browser"": ""Edge""}"
